id_usuario,sucursal,tipo_plan,asistencias_mes,gasto_suplementos
201,Norte,Tradicional,8,150.00
202,Centro,Plan_Pro,14,450.00
203,Sur,Tradicional,9,180.00
204,Norte,Plan_Pro,16,500.00
205,Centro,Tradicional,7,120.00
206,Sur,Plan_Pro,15,480.00
207,Norte,Tradicional,10,210.00
208,Centro,Plan_Pro,13,420.00
209,Sur,Tradicional,8,160.00
210,Norte,Plan_Pro,17,520.00
211,Centro,Tradicional,9,190.00
212,Sur,Plan_Pro,14,440.00
213,Norte,Tradicional,6,100.00
214,Centro,Plan_Pro,15,460.00
215,Sur,Tradicional,11,230.00
216,Norte,Plan_Pro,18,550.00
217,Centro,Tradicional,7,130.00
218,Sur,Plan_Pro,12,390.00
219,Norte,Tradicional,9,170.00
220,Centro,Plan_Pro,16,510.00
